,carat,cut,color,clarity,depth,table,price ,x,y,z
1,0.23,Ideal,E,SI2,61.5,55,27188.4,3.95,3.98,2.43
2,0.21,Premium,E,SI1,59.8,61,27188.4,3.89,3.84,2.31
3,0.23,Good,E,VS1,56.9,65,27271.8,4.05,4.07,2.31
4,0.29,Premium,I,VS2,62.4,58,27855.6,4.2,4.23,2.63
5,0.31,Good,J,SI2,63.3,58,27939,4.34,4.35,2.75
6,0.24,Very Good,J,VVS2,62.8,57,28022.4,3.94,3.96,2.48
7,0.24,Very Good,I,VVS1,62.3,57,28022.4,3.95,3.98,2.47
8,0.26,Very Good,H,SI1,61.9,55,28105.8,4.07,4.11,2.53
9,0.22,Fair,E,VS2,65.1,61,28105.8,3.87,3.78,2.49
10,0.23,Very Good,H,VS1,59.4,61,28189.2,4,4.05,2.39
11,0.3,Good,J,SI1,64,55,28272.6,4.25,4.28,2.73
12,0.23,Ideal,J,VS1,62.8,56,28356,3.93,3.9,2.46
13,0.22,Premium,F,SI1,60.4,61,28522.8,3.88,3.84,2.33
14,0.31,Ideal,J,SI2,62.2,54,28689.6,4.35,4.37,2.71
15,0.2,Premium,E,SI2,60.2,62,28773,3.79,3.75,2.27
16,0.32,Premium,E,I1,60.9,58,28773,4.38,4.42,2.68
17,0.3,Ideal,I,SI2,62,54,29023.2,4.31,4.34,2.68
18,0.3,Good,J,SI1,63.4,54,29273.4,4.23,4.29,2.7
19,0.3,Good,J,SI1,63.8,56,29273.4,4.23,4.26,2.71
20,0.3,Very Good,J,SI1,62.7,59,29273.4,4.21,4.27,2.66
21,0.3,Good,I,SI2,63.3,56,29273.4,4.26,4.3,2.71
22,0.23,Very Good,E,VS2,63.8,55,29356.8,3.85,3.92,2.48
23,0.23,Very Good,H,VS1,61,57,29440.2,3.94,3.96,2.41
24,0.31,Very Good,J,SI1,59.4,62,29440.2,4.39,4.43,2.62
25,0.31,Very Good,J,SI1,58.1,62,29440.2,4.44,4.47,2.59
26,0.23,Very Good,G,VVS2,60.4,58,29523.6,3.97,4.01,2.41
27,0.24,Premium,I,VS1,62.5,57,29607,3.97,3.94,2.47
28,0.3,Very Good,J,VS2,62.2,57,29773.8,4.28,4.3,2.67
29,0.23,Very Good,D,VS2,60.5,61,29773.8,3.96,3.97,2.4
30,0.23,Very Good,F,VS1,60.9,57,29773.8,3.96,3.99,2.42
31,0.23,Very Good,F,VS1,60,57,33526.8,4,4.03,2.41
32,0.23,Very Good,F,VS1,59.8,57,33526.8,4.04,4.06,2.42
33,0.23,Very Good,E,VS1,60.7,59,33526.8,3.97,4.01,2.42
34,0.23,Very Good,E,VS1,59.5,58,33526.8,4.01,4.06,2.4
35,0.23,Very Good,D,VS1,61.9,58,33526.8,3.92,3.96,2.44
36,0.23,Good,F,VS1,58.2,59,33526.8,4.06,4.08,2.37
37,0.23,Good,E,VS1,64.1,59,33526.8,3.83,3.85,2.46
38,0.31,Good,H,SI1,64,54,33526.8,4.29,4.31,2.75
39,0.26,Very Good,D,VS2,60.8,59,33610.2,4.13,4.16,2.52
40,0.33,Ideal,I,SI2,61.8,55,33610.2,4.49,4.51,2.78
41,0.33,Ideal,I,SI2,61.2,56,33610.2,4.49,4.5,2.75
42,0.33,Ideal,J,SI1,61.1,56,33610.2,4.49,4.55,2.76
43,0.26,Good,D,VS2,65.2,56,33610.2,3.99,4.02,2.61
44,0.26,Good,D,VS1,58.4,63,33610.2,4.19,4.24,2.46
45,0.32,Good,H,SI2,63.1,56,33610.2,4.34,4.37,2.75
46,0.29,Premium,F,SI1,62.4,58,33610.2,4.24,4.26,2.65
47,0.32,Very Good,H,SI2,61.8,55,33610.2,4.35,4.42,2.71
48,0.32,Good,H,SI2,63.8,56,33610.2,4.36,4.38,2.79
49,0.25,Very Good,E,VS2,63.3,60,33693.6,4,4.03,2.54
50,0.29,Very Good,H,SI2,60.7,60,33693.6,4.33,4.37,2.64
51,0.24,Very Good,F,SI1,60.9,61,33693.6,4.02,4.03,2.45
52,0.23,Ideal,G,VS1,61.9,54,33693.6,3.93,3.95,2.44
53,0.32,Ideal,I,SI1,60.9,55,33693.6,4.45,4.48,2.72
54,0.22,Premium,E,VS2,61.6,58,33693.6,3.93,3.89,2.41
55,0.22,Premium,D,VS2,59.3,62,33693.6,3.91,3.88,2.31
56,0.3,Ideal,I,SI2,61,59,33777,4.3,4.33,2.63
57,0.3,Premium,J,SI2,59.3,61,33777,4.43,4.38,2.61
58,0.3,Very Good,I,SI1,62.6,57,33777,4.25,4.28,2.67
59,0.3,Very Good,I,SI1,63,57,33777,4.28,4.32,2.71
60,0.3,Good,I,SI1,63.2,55,33777,4.25,4.29,2.7
61,0.35,Ideal,I,VS1,60.9,57,46036.8,4.54,4.59,2.78
62,0.3,Premium,D,SI1,62.6,59,46036.8,4.23,4.27,2.66
63,0.3,Ideal,D,SI1,62.5,57,46036.8,4.29,4.32,2.69
64,0.3,Ideal,D,SI1,62.1,56,46036.8,4.3,4.33,2.68
65,0.42,Premium,I,SI2,61.5,59,46036.8,4.78,4.84,2.96
66,0.28,Ideal,G,VVS2,61.4,56,46120.2,4.19,4.22,2.58
67,0.32,Ideal,I,VVS1,62,55.3,46120.2,4.39,4.42,2.73
68,0.31,Very Good,G,SI1,63.3,57,46120.2,4.33,4.3,2.73
